model_key,family,params_b,tuning,tier,conflict_type,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,definition_scope,sum_logprob,30.0,1.8920057853062948,1.4318992236256605,2.4100148893064923,0.9,7.432824102499213,3.433819890322561e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,definition_scope,mean_logprob,30.0,1.8920057853062948,1.4318992236256605,2.4100148893064923,0.9,7.432824102499213,3.433819890322561e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,game_rule,sum_logprob,30.0,3.1684786748554976,2.4119258325505584,3.9829240120740397,0.9333333333333333,7.444119948286943,3.334438830521879e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,game_rule,mean_logprob,30.0,3.1684786748554976,2.4119258325505584,3.9829240120740397,0.9333333333333333,7.444119948286943,3.334438830521879e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,glossary,sum_logprob,30.0,1.6682962947421605,1.1796241648991903,2.1683629875712924,0.8666666666666667,6.549376130779001,3.571177773808439e-07
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,glossary,mean_logprob,30.0,1.6682962947421605,1.1796241648991903,2.1683629875712924,0.8666666666666667,6.549376130779001,3.571177773808439e-07
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,technical_document,sum_logprob,30.0,2.092099422878689,1.5836527950233885,2.625738457904922,0.8666666666666667,7.540397862911983,2.5976556375286695e-08
qwen25_7b_base,Qwen,7.0,base,large_7b,domain_definition_remapping,technical_document,mean_logprob,30.0,2.092099422878689,1.5836527950233885,2.625738457904922,0.8666666666666667,7.540397862911983,2.5976556375286695e-08
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,definition_scope,sum_logprob,80.0,2.5326477611214977,1.9414171515481098,3.142970065701342,0.85,8.21831904383517,3.2718560638701115e-12
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,definition_scope,mean_logprob,80.0,2.4758786515388462,1.9097693610528625,3.0605679597412303,0.8375,8.527417161548916,8.151554701345697e-13
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,game_rule,sum_logprob,80.0,-2.445755895968967,-3.4764573377087573,-1.315907836863551,0.275,-4.553576199112043,1.8884796277099163e-05
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,game_rule,mean_logprob,80.0,-2.471898438820392,-3.4095136623861646,-1.4971100014572571,0.2875,-5.010274743728875,3.2479091913602917e-06
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,glossary,sum_logprob,80.0,0.4703391440145519,-0.2672807955611121,1.2331516593276588,0.55,1.2188410284953932,0.22653160446545972
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,glossary,mean_logprob,80.0,0.3942930294181708,-0.31109303907477803,1.1090624247537342,0.55,1.0596451169163967,0.2925351750739233
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,technical_document,sum_logprob,80.0,1.1187957971985385,0.703934681652202,1.5535148206804812,0.7375,5.150645281054491,1.8616407850489144e-06
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,antonym_remapping,technical_document,mean_logprob,80.0,1.0500463854301731,0.667581123676095,1.4423048944079981,0.7125,5.266962387766108,1.1679352134688234e-06
qwen25_7b_instruct,Qwen,7.0,instruct,large_7b,arbitrary_semantic_remapping,definition_scope,sum_logprob,36.0,3.930124759674073,3.0415807994427504,4.753778239753512,0.9166666666666666,9.043103471886365,1.1006873723971765e-10
