model_key,family,params_b,tuning,tier,prompt_style,score_mode,n,mean,ci_low,ci_high,positive_fraction,t,p
gemma2_9b_base,Gemma,9.0,base,large_7b9b,definition_scope,sum_logprob,176.0,1.4105374591820168,1.0675304634891678,1.7512856049745373,0.7727272727272727,7.94178938107122,2.320182035482469e-13
gemma2_9b_base,Gemma,9.0,base,large_7b9b,definition_scope,mean_logprob,176.0,1.443479077156746,1.131932194841405,1.7600644191896373,0.7670454545454546,8.76529407669124,1.5886760646861802e-15
gemma2_9b_base,Gemma,9.0,base,large_7b9b,game_rule,sum_logprob,176.0,1.6794296390179433,1.2069997338860323,2.184682380024231,0.6988636363636364,6.802025103864519,1.5715012961714114e-10
gemma2_9b_base,Gemma,9.0,base,large_7b9b,game_rule,mean_logprob,176.0,1.6614189466292208,1.1743644931381851,2.1617795440622354,0.6931818181818182,6.687779986395461,2.93404918579206e-10
gemma2_9b_base,Gemma,9.0,base,large_7b9b,glossary,sum_logprob,176.0,3.01236807893623,2.6231274294158955,3.429673216745935,0.8693181818181818,14.595256481300185,4.4562560021886464e-32
gemma2_9b_base,Gemma,9.0,base,large_7b9b,glossary,mean_logprob,176.0,3.013830935808294,2.6315911765746547,3.4257609239680638,0.8693181818181818,14.708445974129315,2.1088096311838744e-32
gemma2_9b_base,Gemma,9.0,base,large_7b9b,technical_document,sum_logprob,176.0,3.228283574282558,2.852428975064223,3.6275259658415577,0.9147727272727273,16.452130372147458,2.309136706000477e-37
gemma2_9b_base,Gemma,9.0,base,large_7b9b,technical_document,mean_logprob,176.0,3.211587503601825,2.8350946287451677,3.6087360152523176,0.9090909090909091,16.29772665612812,6.290236989925904e-37
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,definition_scope,sum_logprob,176.0,1.3746702182868167,0.9549724926990311,1.7966478123669825,0.6534090909090909,6.239227312486562,3.2122629221303e-09
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,definition_scope,mean_logprob,176.0,1.3789110124760031,0.9546971672815572,1.8036106712454774,0.6534090909090909,6.276586360593857,2.641450609442591e-09
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,game_rule,sum_logprob,176.0,3.461661782315666,2.601562663122027,4.356830128289352,0.7272727272727273,7.626196521938675,1.4808334913785609e-12
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,game_rule,mean_logprob,176.0,3.4775028398526544,2.61494208141562,4.375995383119061,0.7329545454545454,7.666077014406675,1.1738484202850602e-12
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,glossary,sum_logprob,176.0,0.7193198142976779,0.2662517594437326,1.1692813055168734,0.5738636363636364,3.0644055774769927,0.0025264875751553977
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,glossary,mean_logprob,176.0,0.71937044223982,0.270772295223953,1.1721049436396527,0.5738636363636364,3.067044864209755,0.0025054270003625582
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,technical_document,sum_logprob,176.0,-0.3222589298667309,-0.8121321566013022,0.17978022394852905,0.48295454545454547,-1.2284088196884337,0.22094300460892977
gemma2_9b_instruct,Gemma,9.0,instruct,large_7b9b,technical_document,mean_logprob,176.0,-0.3176271947062366,-0.8070437019297975,0.1808014650415517,0.48295454545454547,-1.2118605013065389,0.22719949121060282
mistral7b_base,Mistral,7.0,base,large_7b,definition_scope,sum_logprob,176.0,1.8733987293487162,1.597898832400681,2.171255916671177,0.8011363636363636,12.462056000682383,6.337919622989642e-26
mistral7b_base,Mistral,7.0,base,large_7b,definition_scope,mean_logprob,176.0,1.5461721522176666,1.2788320932564643,1.8284009550969769,0.75,10.774111433652587,4.3687429173635e-21
mistral7b_base,Mistral,7.0,base,large_7b,game_rule,sum_logprob,176.0,4.402356099601314,4.042715779298663,4.7659058827704825,0.9659090909090909,24.085516926058933,1.8886051387641414e-57
mistral7b_base,Mistral,7.0,base,large_7b,game_rule,mean_logprob,176.0,3.8373088907136648,3.4837042284911885,4.187167588050075,0.9602272727272727,21.692512527658852,1.7523804843666615e-51
mistral7b_base,Mistral,7.0,base,large_7b,glossary,sum_logprob,176.0,1.7782275426647118,1.551886576544524,2.023866171804901,0.8977272727272727,14.768775784188415,1.4156787509145873e-32
mistral7b_base,Mistral,7.0,base,large_7b,glossary,mean_logprob,176.0,1.5369464402567907,1.326753870290721,1.763891221472455,0.8863636363636364,13.790198532558252,9.264044925861752e-30
mistral7b_base,Mistral,7.0,base,large_7b,technical_document,sum_logprob,176.0,2.6456888042234685,2.400044068904743,2.8975263783707828,0.9659090909090909,20.581011958264945,1.3232640974469511e-48
mistral7b_base,Mistral,7.0,base,large_7b,technical_document,mean_logprob,176.0,2.284035674984265,2.0517054808855373,2.5115031848583724,0.9602272727272727,18.999150063408322,2.1411846688373048e-44
mistral7b_instruct,Mistral,7.0,instruct,large_7b,definition_scope,sum_logprob,176.0,2.3643100949644036,1.8159193037037815,2.9268779309472044,0.7727272727272727,8.246498273665553,3.756439306235704e-14
mistral7b_instruct,Mistral,7.0,instruct,large_7b,definition_scope,mean_logprob,176.0,1.7313665887952299,1.2530065106127952,2.1985758081383384,0.7386363636363636,6.994047588691969,5.432490627019088e-11
mistral7b_instruct,Mistral,7.0,instruct,large_7b,game_rule,sum_logprob,176.0,4.9992891095434855,4.075421879600287,5.99162510238951,0.7556818181818182,10.159358593923624,2.3654878722015073e-19
mistral7b_instruct,Mistral,7.0,instruct,large_7b,game_rule,mean_logprob,176.0,4.28800662006922,3.430271163886901,5.234573649197772,0.75,9.164074868283596,1.3315826851017967e-16
mistral7b_instruct,Mistral,7.0,instruct,large_7b,glossary,sum_logprob,176.0,0.865528256570986,0.30205299702731214,1.475742210062047,0.5056818181818182,2.919241417684562,0.003970347489640205
mistral7b_instruct,Mistral,7.0,instruct,large_7b,glossary,mean_logprob,176.0,0.5137757484143123,-0.014297478156553018,1.0332863521331581,0.5170454545454546,1.9132375325043243,0.057350217837500925
mistral7b_instruct,Mistral,7.0,instruct,large_7b,technical_document,sum_logprob,176.0,0.8165728027630773,0.2682241572347113,1.3698419582400225,0.5909090909090909,2.8887409838592695,0.00435674857704401
mistral7b_instruct,Mistral,7.0,instruct,large_7b,technical_document,mean_logprob,176.0,0.25712971852204125,-0.21487880420255084,0.7359378010470625,0.5568181818181818,1.0270971635221002,0.30579228027365624
