model_key,scan_type,component_type,layer,head,name,recovery,target_delta,distractor_delta,is_nondegenerate_component
gemma2_2b_instruct,reader_final_position,mlp,24,-1,L24MLP,0.35149390420222115,3.918644428253174,2.631784677505493,True
gemma2_2b_instruct,reader_final_position,attn_head,25,0,L25H0,-0.0009863308176811347,-0.005045141559094191,-0.0014340536436066031,True
gemma2_2b_instruct,reader_final_position,attn_head,25,1,L25H1,0.012885664185352216,0.06387714296579361,0.016701068729162216,True
gemma2_2b_instruct,reader_final_position,attn_head,25,2,L25H2,0.08871731794489214,0.12428508698940277,-0.20051942765712738,True
gemma2_2b_instruct,reader_final_position,attn_head,25,3,L25H3,-0.08262206207271965,-0.05822471156716347,0.24426397681236267,True
gemma2_2b_instruct,reader_final_position,attn_head,25,4,L25H4,0.039188298434233895,0.0860433578491211,-0.057429637759923935,True
gemma2_2b_instruct,reader_final_position,attn_head,25,5,L25H5,-0.010100835456061422,-0.002737011294811964,0.03424318507313728,True
gemma2_2b_instruct,reader_final_position,attn_head,25,6,L25H6,0.03986283050807539,-0.346574068069458,-0.49251657724380493,True
gemma2_2b_instruct,reader_final_position,attn_head,25,7,L25H7,0.1200325759937165,0.7168275117874146,0.2773742377758026,True
gemma2_2b_instruct,reader_final_position,mlp,25,-1,L25MLP,0.3256459367226938,2.4407498836517334,1.2485227584838867,True
olmo_1b_base,writer_source_positions,attn_head,2,0,L2H0,-0.013376588135206499,-0.005623430013656616,0.02003440260887146,True
olmo_1b_base,writer_source_positions,attn_head,2,1,L2H1,-0.0027536908657234856,-0.0029012858867645264,0.0023806095123291016,True
olmo_1b_base,writer_source_positions,attn_head,2,2,L2H2,0.016148566400701787,0.01951354742050171,-0.011461257934570312,True
olmo_1b_base,writer_source_positions,attn_head,2,3,L2H3,0.026942102045710577,-0.01747673749923706,-0.0691547840833664,True
olmo_1b_base,writer_source_positions,attn_head,2,4,L2H4,-0.001489351007838489,0.0011125504970550537,0.003969296813011169,True
olmo_1b_base,writer_source_positions,attn_head,2,5,L2H5,0.000612449213428172,0.0035348236560821533,0.0023600757122039795,True
olmo_1b_base,writer_source_positions,attn_head,2,6,L2H6,-0.007870946581137985,-0.002117365598678589,0.012980014085769653,True
olmo_1b_base,writer_source_positions,attn_head,2,7,L2H7,0.0020561205650822065,0.004134625196456909,0.00019074976444244385,True
olmo_1b_base,writer_source_positions,attn_head,2,8,L2H8,0.00033698068814848315,0.0051306188106536865,0.004484251141548157,True
olmo_1b_base,writer_source_positions,attn_head,2,9,L2H9,-0.0026759189204747483,-0.00533708930015564,-0.0002043694257736206,True
olmo_1b_base,writer_source_positions,attn_head,2,10,L2H10,0.0027442908004202218,0.005243182182312012,-2.0682811737060547e-05,True
olmo_1b_base,writer_source_positions,attn_head,2,11,L2H11,0.003416022574451042,0.034971803426742554,0.028419479727745056,True
olmo_1b_base,writer_source_positions,attn_head,2,12,L2H12,0.008292419095929687,0.007764697074890137,-0.008141115307807922,True
olmo_1b_base,writer_source_positions,attn_head,2,13,L2H13,-0.0013530345236431453,0.0006196796894073486,0.0032149553298950195,True
olmo_1b_base,writer_source_positions,attn_head,2,14,L2H14,0.005657681783862046,0.004215210676193237,-0.006636872887611389,True
olmo_1b_base,writer_source_positions,attn_head,2,15,L2H15,0.014969619532745284,0.016571253538131714,-0.012142196297645569,True
olmo_1b_base,writer_source_positions,mlp,2,-1,L2MLP,0.016414805770956456,0.05286705493927002,0.021381571888923645,True
olmo_1b_base,writer_source_positions,attn_head,3,0,L3H0,0.0041340399592891715,0.013847023248672485,0.005917459726333618,True
olmo_1b_base,writer_source_positions,attn_head,3,1,L3H1,0.005179117467488787,0.011085420846939087,0.0011512786149978638,True
olmo_1b_base,writer_source_positions,attn_head,3,2,L3H2,0.00536737513897142,0.003429502248764038,-0.006865739822387695,True
olmo_1b_base,writer_source_positions,attn_head,3,3,L3H3,-0.027595546419969592,-0.04816371202468872,0.004767715930938721,True
olmo_1b_base,writer_source_positions,attn_head,3,4,L3H4,0.0018607312738075105,0.001677185297012329,-0.0018919110298156738,True
olmo_1b_base,writer_source_positions,attn_head,3,5,L3H5,0.006602131981422674,0.005569934844970703,-0.007093712687492371,True
olmo_1b_base,writer_source_positions,attn_head,3,6,L3H6,0.002224972151335458,-0.0011378824710845947,-0.005405634641647339,True
olmo_1b_base,writer_source_positions,attn_head,3,7,L3H7,-0.15662649834904555,-0.1539236605167389,0.14650395512580872,True
olmo_1b_base,writer_source_positions,attn_head,3,8,L3H8,0.014873979694771335,0.02296873927116394,-0.005561262369155884,True
olmo_1b_base,writer_source_positions,attn_head,3,9,L3H9,0.0018667752827380387,0.000455707311630249,-0.0031249821186065674,True
olmo_1b_base,writer_source_positions,attn_head,3,10,L3H10,-0.0051214352485823966,-0.012330740690231323,-0.002507239580154419,True
olmo_1b_base,writer_source_positions,attn_head,3,11,L3H11,0.0011461476318322258,0.0024572908878326416,0.00025884807109832764,True
olmo_1b_base,writer_source_positions,attn_head,3,12,L3H12,-0.017453132323165543,-0.03500297665596008,-0.0015258640050888062,True
olmo_1b_base,writer_source_positions,attn_head,3,13,L3H13,-0.002314731122008109,-0.004926234483718872,-0.0004863142967224121,True
olmo_1b_base,writer_source_positions,attn_head,3,14,L3H14,-0.006863780080111862,-0.0023937225341796875,0.010771796107292175,True
olmo_1b_base,writer_source_positions,attn_head,3,15,L3H15,0.006322212020259704,0.015192270278930664,0.003065541386604309,True
olmo_1b_base,writer_source_positions,mlp,3,-1,L3MLP,-0.04474372042620984,-0.019562125205993652,0.06626147031784058,True
olmo_1b_base,writer_source_positions,attn_head,4,0,L4H0,0.0008446308264187826,0.0048066675662994385,0.0031865686178207397,True
olmo_1b_base,writer_source_positions,attn_head,4,1,L4H1,-0.015396530101844658,-0.0337558388710022,-0.004223525524139404,True
olmo_1b_base,writer_source_positions,attn_head,4,2,L4H2,-0.0029798983876246662,-0.008376926183700562,-0.0026611387729644775,True
olmo_1b_base,writer_source_positions,attn_head,4,3,L4H3,-0.000666511241895454,-0.002193063497543335,-0.0009146183729171753,True
olmo_1b_base,writer_source_positions,attn_head,4,4,L4H4,-0.002331348262242556,0.003706812858581543,0.008178606629371643,True
olmo_1b_base,writer_source_positions,attn_head,4,5,L4H5,0.013098858933064622,0.010932594537734985,-0.014192521572113037,True
olmo_1b_base,writer_source_positions,attn_head,4,6,L4H6,-0.0016314318295999667,-0.0018990635871887207,0.0012302100658416748,True
olmo_1b_base,writer_source_positions,attn_head,4,7,L4H7,0.0030406414542413756,-0.0058953166007995605,-0.01172761619091034,True
olmo_1b_base,writer_source_positions,attn_head,4,8,L4H8,-0.0018973216106491398,0.004410892724990845,0.00805017352104187,True
olmo_1b_base,writer_source_positions,attn_head,4,9,L4H9,0.008759897550164304,0.01368790864944458,-0.0031145811080932617,True
olmo_1b_base,writer_source_positions,attn_head,4,10,L4H10,-0.0043188095073658835,-0.004790812730789185,0.0034931600093841553,True
olmo_1b_base,writer_source_positions,attn_head,4,11,L4H11,-0.00018083084302815414,0.005556970834732056,0.0059038251638412476,True
olmo_1b_base,writer_source_positions,attn_head,4,12,L4H12,-0.0017349335403730086,-0.0031163692474365234,0.0002114325761795044,True
olmo_1b_base,writer_source_positions,attn_head,4,13,L4H13,-0.0007331118698664282,0.006364405155181885,0.0077705979347229,True
olmo_1b_base,writer_source_positions,attn_head,4,14,L4H14,-0.00457745890753684,0.01000899076461792,0.018789082765579224,True
olmo_1b_base,writer_source_positions,attn_head,4,15,L4H15,0.0023091920752632933,0.0041848719120025635,-0.0002444237470626831,True
